time;gFx;gFy;gFz;TgF
2,019000;-0,1453;0,7901;0,5793;0,990
2,020000;-0,1411;0,7927;0,5788;0,992
2,040000;-0,1448;0,7896;0,5795;0,990
2,041000;-0,1448;0,7886;0,5771;0,988
2,041000;-0,1448;0,7893;0,5785;0,989
2,041000;-0,1450;0,7888;0,5776;0,988
2,051000;-0,1411;0,7879;0,5749;0,985
2,052000;-0,1384;0,7883;0,5751;0,986
2,054000;-0,1355;0,7874;0,5771;0,986
2,069000;-0,1333;0,7879;0,5715;0,982
2,069000;-0,1335;0,7881;0,5719;0,983
2,069000;-0,1335;0,7871;0,5749;0,984
2,084000;-0,1291;0,7881;0,5766;0,985
2,085000;-0,1304;0,7888;0,5768;0,986
2,086000;-0,1313;0,7866;0,5798;0,986
2,101000;-0,1308;0,7857;0,5883;0,990
2,102000;-0,1365;0,7844;0,5912;0,992
2,102000;-0,1384;0,7852;0,5910;0,992
2,105000;-0,1365;0,7866;0,5917;0,994
2,116000;-0,1357;0,7861;0,5969;0,996
2,117000;-0,1352;0,7881;0,5969;0,998
2,133000;-0,1392;0,7876;0,5976;0,998
2,133000;-0,1362;0,7883;0,5981;0,999
2,133000;-0,1343;0,7857;0,5961;0,995
2,135000;-0,1360;0,7874;0,5920;0,994
2,151000;-0,1304;0,7842;0,5908;0,990
2,152000;-0,1299;0,7822;0,5861;0,986
2,152000;-0,1306;0,7837;0,5825;0,985
2,156000;-0,1313;0,7854;0,5817;0,986
2,160000;-0,1308;0,7852;0,5768;0,983
2,165000;-0,1311;0,7842;0,5727;0,980
2,170000;-0,1326;0,7893;0,5783;0,987
2,175000;-0,1362;0,7866;0,5771;0,985
2,181000;-0,1384;0,7871;0,5810;0,988
2,186000;-0,1416;0,7918;0,5854;0,995
2,191000;-0,1433;0,7903;0,5851;0,994
2,196000;-0,1455;0,7886;0,5800;0,990
2,201000;-0,1465;0,7910;0,5859;0,995
2,208000;-0,1501;0,7901;0,5873;0,996
2,211000;-0,1482;0,7935;0,5829;0,996
2,216000;-0,1438;0,7923;0,5807;0,993
2,221000;-0,1426;0,7898;0,5798;0,990
2,239000;-0,1396;0,7896;0,5783;0,989
2,240000;-0,1401;0,7883;0,5783;0,988
2,241000;-0,1396;0,7886;0,5761;0,987
2,242000;-0,1384;0,7874;0,5715;0,983
2,246000;-0,1387;0,7886;0,5693;0,982
2,253000;-0,1377;0,7883;0,5702;0,983
2,263000;-0,1377;0,7901;0,5744;0,986
2,264000;-0,1360;0,7891;0,5800;0,989
2,267000;-0,1416;0,7898;0,5785;0,989
2,271000;-0,1401;0,7901;0,5778;0,989
2,280000;-0,1409;0,7920;0,5815;0,993
2,281000;-0,1431;0,7915;0,5815;0,993
2,288000;-0,1445;0,7905;0,5856;0,994
2,293000;-0,1458;0,7910;0,5922;0,999
2,298000;-0,1465;0,7927;0,5966;1,003
2,303000;-0,1458;0,7915;0,5944;1,001
2,322000;-0,1472;0,7874;0,5993;1,000
2,323000;-0,1418;0,7871;0,5988;0,999
2,324000;-0,1370;0,7879;0,5932;0,996
2,325000;-0,1416;0,7879;0,5898;0,994
2,328000;-0,1404;0,7866;0,5876;0,992
2,333000;-0,1384;0,7827;0,5798;0,984
2,338000;-0,1335;0,7866;0,5812;0,987
2,345000;-0,1323;0,7852;0,5812;0,986
2,349000;-0,1301;0,7820;0,5741;0,979
2,353000;-0,1282;0,7842;0,5739;0,980
2,360000;-0,1272;0,7847;0,5724;0,980
2,362000;-0,1225;0,7847;0,5700;0,978
2,368000;-0,1282;0,7832;0,5712;0,978
2,374000;-0,1296;0,7842;0,5690;0,978
2,378000;-0,1301;0,7864;0,5710;0,980
2,383000;-0,1357;0,7891;0,5773;0,987
2,391000;-0,1404;0,7915;0,5820;0,992
2,393000;-0,1455;0,7918;0,5883;0,997
2,398000;-0,1489;0,7913;0,5949;1,001
2,403000;-0,1511;0,7901;0,5996;1,003
2,409000;-0,1536;0,7923;0,6022;1,007
2,414000;-0,1541;0,7918;0,5993;1,005
2,419000;-0,1533;0,7937;0,5920;1,002
2,438000;-0,1533;0,7913;0,5912;1,000
2,440000;-0,1526;0,7927;0,5866;0,998
2,441000;-0,1487;0,7896;0,5827;0,993
2,441000;-0,1443;0,7891;0,5771;0,988
2,444000;-0,1394;0,7896;0,5749;0,987
2,449000;-0,1326;0,7879;0,5678;0,980
2,462000;-0,1328;0,7837;0,5651;0,975
2,463000;-0,1318;0,7847;0,5634;0,975
2,464000;-0,1316;0,7832;0,5624;0,973
2,470000;-0,1286;0,7822;0,5658;0,974
2,481000;-0,1291;0,7876;0,5693;0,980
2,482000;-0,1304;0,7891;0,5710;0,983
2,484000;-0,1352;0,7881;0,5751;0,985
2,491000;-0,1370;0,7893;0,5788;0,988
2,495000;-0,1411;0,7925;0,5895;0,998
2,499000;-0,1426;0,7915;0,5881;0,996
2,508000;-0,1428;0,7898;0,5895;0,996
2,510000;-0,1426;0,7888;0,5917;0,996
2,515000;-0,1409;0,7901;0,5908;0,997
2,520000;-0,1443;0,7896;0,5942;0,999
2,535000;-0,1416;0,7891;0,5939;0,998
2,536000;-0,1409;0,7879;0,5871;0,993
2,536000;-0,1401;0,7869;0,5878;0,992
2,554000;-0,1382;0,7891;0,5854;0,992
2,555000;-0,1423;0,7883;0,5859;0,992
2,556000;-0,1406;0,7888;0,5847;0,992
2,556000;-0,1352;0,7905;0,5834;0,992
2,560000;-0,1338;0,7854;0,5869;0,990
2,565000;-0,1335;0,7849;0,5788;0,984
2,570000;-0,1343;0,7869;0,5756;0,984
2,575000;-0,1340;0,7859;0,5768;0,984
2,580000;-0,1345;0,7869;0,5707;0,981
2,585000;-0,1352;0,7852;0,5741;0,982
2,591000;-0,1374;0,7886;0,5717;0,984
2,596000;-0,1379;0,7871;0,5729;0,983
2,601000;-0,1348;0,7864;0,5724;0,982
2,610000;-0,1362;0,7879;0,5754;0,985
2,612000;-0,1367;0,7908;0,5759;0,988
2,616000;-0,1387;0,7896;0,5768;0,988
2,621000;-0,1377;0,7881;0,5815;0,989
2,638000;-0,1387;0,7839;0,5812;0,986
2,640000;-0,1399;0,7893;0,5785;0,989
2,640000;-0,1411;0,7913;0,5783;0,990
2,641000;-0,1423;0,7891;0,5739;0,986
2,646000;-0,1440;0,7908;0,5771;0,990
2,651000;-0,1458;0,7913;0,5805;0,992
2,656000;-0,1470;0,7935;0,5820;0,995
2,661000;-0,1465;0,7947;0,5856;0,998
2,666000;-0,1460;0,7942;0,5903;1,000
2,672000;-0,1497;0,7964;0,5895;1,002
2,676000;-0,1506;0,7962;0,5859;1,000
2,681000;-0,1460;0,7923;0,5847;0,995
2,686000;-0,1416;0,7925;0,5847;0,995
2,691000;-0,1394;0,7910;0,5800;0,991
2,696000;-0,1416;0,7869;0,5798;0,988
2,702000;-0,1365;0,7876;0,5749;0,985
2,721000;-0,1335;0,7886;0,5737;0,984
2,723000;-0,1330;0,7871;0,5722;0,982
